,Borough,Neighborhoods,Latitude,Longitude,Population,City,AverageIncome
0,Central,Cantonment area,12.972442,77.580643,866377,Bangalore,18944.09979245654
1,Central,Domlur,12.9609917,77.6387256,743186,Bangalore,56837.022198234714
2,Central,Indiranagar,12.971891,77.641151,474289,Bangalore,41991.81743547267
3,Central,Jeevanbheemanagar,12.9629,77.6595,527874,Bangalore,6667.447632108297
4,Central,Malleswaram,13.0031,77.5643,893629,Bangalore,53270.06389217012
5,Central,Pete area,12.9627,77.5758,730999,Bangalore,50712.43021523708
6,Central,Rajajinagar,12.9901,77.5525,981362,Bangalore,60967.535874273315
7,Central,Sadashivanagar,13.0068,77.5813,662625,Bangalore,59943.54156361253
8,Central,Seshadripuram,12.9935,77.5787,396862,Bangalore,58407.09033812762
9,Central,Shivajinagar,12.9857,77.6057,77836,Bangalore,55850.962099072334
10,Central,Ulsoor,12.9817,77.6286,656726,Bangalore,41007.219536218705
11,Central,Vasanth Nagar,12.9911,77.592,942711,Bangalore,26168.448091905746
12,Eastern,Bellandur,12.926,77.6762,208094,Bangalore,7227.731930160215
13,Eastern,CV Raman Nagar,12.9855,77.6639,122714,Bangalore,54335.3687124637
14,Eastern,Hoodi,12.9922,77.7159,330409,Bangalore,22591.06348278972
15,Eastern,Krishnarajapuram,13.004,77.6878,351936,Bangalore,36934.73772879752
16,Eastern,Mahadevapura,12.9913,77.6874,905568,Bangalore,35915.973333079775
17,Eastern,Marathahalli,12.9592,77.6974,249182,Bangalore,58448.65852401993
18,Eastern,Varthur,12.9389,77.7412,546186,Bangalore,36433.267304465
19,Eastern,Whitefield,12.9698,77.7499,83029,Bangalore,44637.984599169315
20,NorthEastern,Banaswadi,13.012,77.6471,632031,Bangalore,53349.70118376999
21,NorthEastern,HBR Layout,13.0377,77.6288,822101,Bangalore,43625.383677751524
22,NorthEastern,Horamavu,13.0251,77.6597,679059,Bangalore,13930.1957500067
23,NorthEastern,Kammanahalli,13.0159,77.6379,730628,Bangalore,23146.347760771747
24,NorthEastern,Lingarajapuram,13.0084,77.6306,223119,Bangalore,55404.53914338857
25,NorthEastern,Ramamurthy Nagar,13.0184,77.6781,468662,Bangalore,56428.32977477706
26,Northern,Hebbal,13.0358,77.597,926976,Bangalore,39022.69413664342
27,Northern,Jalahalli,13.0528,77.5419,569724,Bangalore,9836.954154007697
28,Northern,Mathikere,13.0334,77.564,757626,Bangalore,61046.854722607495
29,Northern,Peenya,13.0285,77.5197,661647,Bangalore,24706.335040719383
30,Northern,R. T. Nagar,13.0196,77.5968,241187,Bangalore,64644.48098601013
31,Northern,Vidyaranyapura,13.0858,77.5561,704566,Bangalore,31889.3657923905
32,Northern,Yelahanka,13.1005,77.594,15846,Bangalore,5269.688406895912
33,Northern,Yeshwanthpur,13.028,77.5409,333688,Bangalore,27803.161566712795
34,SouthEastern,Bommanahalli,12.8984,77.6179,737166,Bangalore,11422.449966114986
35,SouthEastern,Bommasandra,12.8168,77.6989,723807,Bangalore,24735.99580706888
36,SouthEastern,BTM Layout,12.9166,77.6101,835743,Bangalore,49310.618883719144
37,SouthEastern,Electronic City,12.840711,77.676369,781260,Bangalore,8350.934536094868
38,SouthEastern,HSR Layout,12.9081,77.6476,534598,Bangalore,45739.21629079126
39,SouthEastern,Koramangala,12.9279,77.6271,288089,Bangalore,40110.28371493544
40,SouthEastern,Madiwala,12.9226,77.6174,901659,Bangalore,15025.903387338005
41,Southern,Banashankari,12.9255,77.5468,810407,Bangalore,57524.20952754348
42,Southern,Basavanagudi,12.9421,77.5754,426903,Bangalore,63161.96221779971
43,Southern,Girinagar,12.9386,77.544,783535,Bangalore,41146.06024592519
44,Southern,J. P. Nagar,12.9105,77.5857,255412,Bangalore,61115.381148629334
45,Southern,Jayanagar,12.925,77.5938,103930,Bangalore,8891.317322633713
46,Southern,Kumaraswamy Layout,12.9038,77.5618,983614,Bangalore,10941.42038086904
47,Southern,Padmanabhanagar,12.9156,77.5568,561382,Bangalore,47292.334640290304
48,Southern,Uttarahalli,12.907,77.5521,722264,Bangalore,63166.190375097256
49,SouthernSuburbs,Anjanapura,12.8604,77.5612,940039,Bangalore,44218.92255315634
50,SouthernSuburbs,Arekere,12.8875,77.597,138760,Bangalore,29378.71662615935
51,SouthernSuburbs,Begur,12.8788,77.6377,594887,Bangalore,61640.098297183955
52,SouthernSuburbs,Gottigere,12.8552,77.5869,381292,Bangalore,25803.82048962089
53,SouthernSuburbs,Hulimavu,12.8789,77.609,949207,Bangalore,33486.513517736836
54,SouthernSuburbs,Kothnur,12.8734,77.582,65249,Bangalore,55508.82504734767
55,Western,Basaveshwaranagar,12.9886,77.5383,628910,Bangalore,41177.478491510585
56,Western,Kamakshipalya,12.9887,77.5271,968497,Bangalore,39132.40298971481
57,Western,Kengeri,12.8996,77.4827,14705,Bangalore,19167.83409939497
58,Western,Mahalakshmi Layout,13.0146,77.5514,306403,Bangalore,8416.293069212781
59,Western,Nagarbhavi,12.9599,77.5083,623843,Bangalore,38627.41175976421
60,Western,Nandini Layout,13.016,77.5338,638555,Bangalore,32490.969169667056
61,Western,Nayandahalli,12.9411,77.5248,474920,Bangalore,46826.80389245945
62,Western,Rajarajeshwari Nagar,12.9242,77.5191,516920,Bangalore,12533.78528491645
63,Western,Vijayanagar,12.9719,77.5299,791549,Bangalore,51966.782266844384
