,Borough,Neighborhoods,Population
0,Central,Cantonment area,866377
1,Central,Domlur,743186
2,Central,Indiranagar,474289
3,Central,Jeevanbheemanagar,527874
4,Central,Malleswaram,893629
5,Central,Pete area,730999
6,Central,Rajajinagar,981362
7,Central,Sadashivanagar,662625
8,Central,Seshadripuram,396862
9,Central,Shivajinagar,77836
10,Central,Ulsoor,656726
11,Central,Vasanth Nagar,942711
12,Eastern,Bellandur,208094
13,Eastern,CV Raman Nagar,122714
14,Eastern,Hoodi,330409
15,Eastern,Krishnarajapuram,351936
16,Eastern,Mahadevapura,905568
17,Eastern,Marathahalli,249182
18,Eastern,Varthur,546186
19,Eastern,Whitefield,83029
20,NorthEastern,Banaswadi,632031
21,NorthEastern,HBR Layout,822101
22,NorthEastern,Horamavu,679059
23,NorthEastern,Kammanahalli,730628
24,NorthEastern,Lingarajapuram,223119
25,NorthEastern,Ramamurthy Nagar,468662
26,Northern,Hebbal,926976
27,Northern,Jalahalli,569724
28,Northern,Mathikere,757626
29,Northern,Peenya,661647
30,Northern,R. T. Nagar,241187
31,Northern,Vidyaranyapura,704566
32,Northern,Yelahanka,15846
33,Northern,Yeshwanthpur,333688
34,SouthEastern,Bommanahalli,737166
35,SouthEastern,Bommasandra,723807
36,SouthEastern,BTM Layout,835743
37,SouthEastern,Electronic City,781260
38,SouthEastern,HSR Layout,534598
39,SouthEastern,Koramangala,288089
40,SouthEastern,Madiwala,901659
41,Southern,Banashankari,810407
42,Southern,Basavanagudi,426903
43,Southern,Girinagar,783535
44,Southern,J. P. Nagar,255412
45,Southern,Jayanagar,103930
46,Southern,Kumaraswamy Layout,983614
47,Southern,Padmanabhanagar,561382
48,Southern,Uttarahalli,722264
49,SouthernSuburbs,Anjanapura,940039
50,SouthernSuburbs,Arekere,138760
51,SouthernSuburbs,Begur,594887
52,SouthernSuburbs,Gottigere,381292
53,SouthernSuburbs,Hulimavu,949207
54,SouthernSuburbs,Kothnur,65249
55,Western,Basaveshwaranagar,628910
56,Western,Kamakshipalya,968497
57,Western,Kengeri,14705
58,Western,Mahalakshmi Layout,306403
59,Western,Nagarbhavi,623843
60,Western,Nandini Layout,638555
61,Western,Nayandahalli,474920
62,Western,Rajarajeshwari Nagar,516920
63,Western,Vijayanagar,791549
